# BANG PHI IUL — NLG — KY HAN 20 NAM — hai sheet NTBC (dot 1/2)
# Nguon: Google Sheet "1. Bang quote gia IUL 2025 - 20 NAM" (Drive chu tool gui 10/08/2026)
# Doc ngay 10/08/2026. Doi chieu forum: Nu/NTBC/35t/250k = $217.00 va 45t/250k = $357.00 -> KHOP.
#
# ☠️ CHU TOOL CHOT 10/08/2026: "so drive la chuan, em co the lam theo so drive".
#    => CHEP NGUYEN VAN, KHONG SUA O NAO, ke ca 6 o duoi day da xac dinh la BAT THUONG.
#    Chung cung dang chay tren forum (da do: o 700k tuoi 33 forum tra ve dung 577.20).
#
# SAU O PHA VO QUY LUAT (phi phai ti le thang voi menh gia) — GIU NGUYEN, DUNG "SUA CHO DEP":
#   20FN tuoi 33 / 700k : 577.20  (quy luat 557.20)
#   20FN tuoi 41 / 425k : 469.40  (quy luat 496.40 — nghi dao 496->469)
#   20MN tuoi 30 / 300k : 233.70  (quy luat 242.70)
#   20MN tuoi 36 / 700k : 735.20  (quy luat 753.20 — nghi dao 753->735)
#   20MN tuoi 39 / 225k : 297.22  (quy luat 279.22 — nghi dao 279->297)
#   20MN tuoi 59 / 225k : 730.25  (quy luat 830.25)
# Neu sep sua trong Drive thi lay lai file nay, DUNG tu sua o day.
#
# DINH DANG: <ma sheet>|<tuoi>|<gia tri theo thu tu menh gia>|<tong kiem tra>
#   tong kiem tra = tong tat ca gia tri (cent, lam tron), bo qua "-"
#   "-" = o trong trong sheet = hang KHONG BAN muc do. Tuyet doi khong noi suy.
#   Kiem lai bang: node scripts/doi-bang-phi.js
#MG 20FN=100000,125000,150000,175000,200000,225000,250000,275000,300000,325000,350000,375000,400000,425000,450000,475000,500000,525000,550000,575000,600000,625000,650000,675000,700000,725000,750000,775000,800000,825000,850000,875000,1000000
#MG 20MN=100000,125000,150000,175000,200000,225000,250000,275000,300000,325000,350000,375000,400000,425000,450000,475000,500000,525000,550000,575000,600000,625000,650000,675000,700000,725000,750000,775000,800000,900000,1000000
20FN|44|136.30,170.37,204.45,238.52,272.60,306.67,340.75,374.82,408.90,442.97,477.05,511.12,545.20,579.27,613.35,647.42,681.50,715.57,749.65,783.72,817.80,851.87,885.95,920.02,954.10,988.17,1022.25,1056.32,1090.40,1124.47,-,-,1363.00|2027455
20FN|45|142.80,178.50,214.20,249.90,285.60,321.30,357.00,392.70,428.40,464.10,499.80,535.50,571.20,606.90,642.60,678.30,714.00,749.70,785.40,821.10,856.80,892.50,928.20,963.90,999.60,1035.30,1071.00,1106.70,1142.40,-,-,-,1428.00|2006340
20FN|46|152.40,190.50,228.60,266.70,304.80,342.90,381.00,419.10,457.20,495.30,533.40,571.50,609.60,647.70,685.80,723.90,762.00,800.10,838.20,876.30,914.40,952.50,990.60,1028.70,1066.80,1104.90,1143.00,1181.10,-,-,-,-,1524.00|2019300
20FN|47|161.90,202.37,242.85,283.32,323.80,364.27,404.75,445.22,485.70,526.17,566.65,607.12,647.60,688.07,728.55,769.02,809.50,849.97,890.45,930.92,971.40,1011.87,1052.35,1092.82,1133.30,1173.77,1214.25,1254.72,-,-,-,-,1619.00|2145168
20FN|48|171.50,214.37,257.25,300.12,343.00,385.87,428.75,471.62,514.50,557.37,600.25,643.12,686.00,728.87,771.75,814.62,857.50,900.37,943.25,986.12,1029.00,1071.87,1114.75,1157.62,1200.50,1243.37,1286.25,1329.12,-,-,-,-,1715.00|2272368
20FN|49|181.00,226.25,271.50,316.75,362.00,407.25,452.50,497.75,543.00,588.25,633.50,678.75,724.00,769.25,814.50,859.75,905.00,950.25,995.50,1040.75,1086.00,1131.25,1176.50,1221.75,1267.00,1312.25,1357.50,1402.75,-,-,-,-,1810.00|2398250
20FN|50|190.50,238.12,285.75,333.37,381.00,428.62,476.25,523.87,571.50,619.12,666.75,714.37,762.00,809.62,857.25,904.87,952.50,1000.12,1047.75,1095.37,1143.00,1190.62,1238.25,1285.87,1333.50,1381.12,1428.75,1476.37,-,-,-,-,1905.00|2524118
20FN|51|203.00,253.75,304.50,355.25,406.00,456.75,507.50,558.25,609.00,659.75,710.50,761.25,812.00,862.75,913.50,964.25,1015.00,1065.75,1116.50,1167.25,1218.00,1268.75,1319.50,1370.25,1421.00,1471.75,1522.50,1573.25,-,-,-,-,2030.00|2689750
20FN|52|215.50,269.37,323.25,377.12,431.00,484.87,538.75,592.62,646.50,700.37,754.25,808.12,862.00,915.87,969.75,1023.62,1077.50,1131.37,1185.25,1239.12,1293.00,1346.87,1400.75,1454.62,1508.50,1562.37,1616.25,1670.12,-,-,-,-,2155.00|2855368
20FN|53|227.90,284.87,341.85,398.82,455.80,512.77,569.75,626.72,683.70,740.67,797.65,854.62,911.60,968.57,1025.55,1082.52,1139.50,1196.47,1253.45,1310.42,1367.40,1424.37,1481.35,1538.32,1595.30,1652.27,1709.25,1766.22,-,-,-,-,2279.00|3019668
